TTO;N;P;B;PL;SDT;FC;R;CCI;CCI.R;CCI.I;FC.R;FC.I
0.0N/0.0P;0.0N;0.0P;1;1;7;0,815;1;25,6;25,6;FALSO;0,815;FALSO
0.0N/0.0P;0.0N;0.0P;1;1;7;0,833;2;24,2;24,2;FALSO;0,833;FALSO
0.0N/0.0P;0.0N;0.0P;1;1;7;0,804;3;15,4;15,4;FALSO;0,804;FALSO
0.0N/0.0P;0.0N;0.0P;1;1;7;0,851;4;13,5;13,5;FALSO;0,851;FALSO
0.0N/0.0P;0.0N;0.0P;1;5;7;0,729;1;11,9;11,9;FALSO;0,729;FALSO
0.0N/0.0P;0.0N;0.0P;1;5;7;0,729;2;12,5;12,5;FALSO;0,729;FALSO
0.0N/0.0P;0.0N;0.0P;1;5;7;0,729;3;11,1;11,1;FALSO;0,729;FALSO
0.0N/0.0P;0.0N;0.0P;1;5;7;0,729;4;10,5;10,5;FALSO;0,729;FALSO
1.1N/0.0P;1.1N;0.0P;1;10;7;0,72;1;33,5;33,5;FALSO;0,72;FALSO
1.1N/0.0P;1.1N;0.0P;1;10;7;0,72;2;17,1;17,1;FALSO;0,72;FALSO
1.1N/0.0P;1.1N;0.0P;1;10;7;0,72;3;38;38;FALSO;0,72;FALSO
1.1N/0.0P;1.1N;0.0P;1;10;7;0,72;4;41,4;41,4;FALSO;0,72;FALSO
1.8N/0.0P;1.8N;0.0P;1;20;7;0,914;1;26,6;26,6;FALSO;0,914;FALSO
1.8N/0.0P;1.8N;0.0P;1;20;7;0,734;2;20,2;20,2;FALSO;0,734;FALSO
1.8N/0.0P;1.8N;0.0P;1;20;7;0,806;3;23,1;23,1;FALSO;0,806;FALSO
1.8N/0.0P;1.8N;0.0P;1;20;7;0,573;4;24,1;24,1;FALSO;0,573;FALSO
1.8N/0.0P;1.8N;0.0P;1;22;7;0,843;1;25,4;25,4;FALSO;0,843;FALSO
1.8N/0.0P;1.8N;0.0P;1;22;7;0,806;2;23,6;23,6;FALSO;0,806;FALSO
1.8N/0.0P;1.8N;0.0P;1;22;7;0,725;3;21,2;21,2;FALSO;0,725;FALSO
1.8N/0.0P;1.8N;0.0P;1;22;7;0,732;4;20,9;20,9;FALSO;0,732;FALSO
2.5N/0.0P;2.5N;0.0P;1;25;7;0,495;1;26,6;26,6;FALSO;0,495;FALSO
2.5N/0.0P;2.5N;0.0P;1;25;7;0,495;2;26,9;26,9;FALSO;0,495;FALSO
2.5N/0.0P;2.5N;0.0P;1;25;7;0,495;3;28,2;28,2;FALSO;0,495;FALSO
2.5N/0.0P;2.5N;0.0P;1;25;7;0,495;4;27,1;27,1;FALSO;0,495;FALSO
2.5N/0.0P;2.5N;0.0P;1;31;7;0,708;1;20,5;20,5;FALSO;0,708;FALSO
